Rank,Word,POS,Count
980,aastane,A,323
981,vähenema,V,323
982,seis,S,322
983,täielikult,D,321
984,variant,S,321
985,nõus,D,321
986,lai,A,321
987,kirik,S,320
988,tühi,A,319
989,põhjustama,V,318
990,ainus,A,318
991,objekt,S,318
992,tuul,S,318
993,aken,S,317
994,täitsa,D,317
995,surm,S,317
996,leppima,V,316
997,täiskasvanu,S,316
998,üldine,A,315
999,võetud,A,314
1000,põhi,S,314
